Acalypha alopecuroidea	Euphorbiaceae		foxtail copperleaf			
Acalypha amentacea	Euphorbiaceae		catch me if you can			
Acalypha arvensis	Euphorbiaceae		field copperleaf			
Acalypha australis	Euphorbiaceae		Asian copperleaf			
Acalypha berteriana	Euphorbiaceae		Guayama Copperleaf			
Acalypha bisetosa	Euphorbiaceae		streambank copperleaf			
Acalypha caperonioides	Euphorbiaceae		false-nettle bush			
Acalypha chamaedryfolia	Euphorbiaceae		bastard copperleaf			
Acalypha deamii	Euphorbiaceae		Deam's threeseed mercury			two-seeded copperleaf~two-seeded mercury
Acalypha fruticosa	Euphorbiaceae		golden falsenettle			
Acalypha glabrata	Euphorbiaceae		velvet forest false-nettel			Forest false-nettle
Acalypha gracilens	Euphorbiaceae		slender threeseed mercury			Shortstalk Copperleaf~Slender Copperleaf~Slender three-seeded copperleaf~Slender three-seeded mercury~Three-seeded Mercury
Acalypha hispida	Euphorbiaceae	Queue de chat	chenille plant	Katzenschwänzchen		Queue de minite~red-hot cat's tail
Acalypha matudae	Euphorbiaceae		'Acalypha matudai'			
Acalypha mexicana	Euphorbiaceae		Mexican copperleaf			
Acalypha monococca	Euphorbiaceae		slender threeseed mercury			
Acalypha monostachya	Euphorbiaceae		round copperleaf			
Acalypha neomexicana	Euphorbiaceae		New Mexico copperleaf			
Acalypha ornata	Euphorbiaceae		Zambezi false-nettle			
Acalypha ostryifolia	Euphorbiaceae		three-seeded mercury			pineland threeseed mercury~rough-podded copperleaf
Acalypha petiolaris	Euphorbiaceae		heart-leaved brooms and brushes			
Acalypha phleoides	Euphorbiaceae		shrubby copperleaf			
Acalypha poiretii	Euphorbiaceae		Poiret's copperleaf			
Acalypha portoricensis	Euphorbiaceae		Puerto Rico copperleaf			
Acalypha punctata	Euphorbiaceae		sticky brooms and brushes			
Acalypha radians	Euphorbiaceae		cardinal's feather			
Acalypha raivavensis	Euphorbiaceae		A. raivavensis			
Acalypha rhomboidea	Euphorbiaceae		common three-seeded copperleaf			common threeseed mercury~three-seeded mercury
Acalypha rubrinervis	Euphorbiaceae		Stringwood			
Acalypha setosa	Euphorbiaceae		Cuban copperleaf			
Acalypha sonderiana	Euphorbiaceae		Thorny False Nettle			thorny false-nettle
Acalypha virginica	Euphorbiaceae		Virginia threeseed mercury		acalifa	
Acampe carinata	Orchidaceae		Keeled Acampe			
Acampe ochracea	Orchidaceae		Ochre-Yellow Acampe			
Acampe praemorsa	Orchidaceae		Acampe Orchid			Brittle Orchid~Wight's Acampe
Acampe rigida	Orchidaceae		Stiff Acampe			
Acamptopappus shockleyi	Asteraceae		Shockley's goldenhead			
Acamptopappus sphaerocephalus	Asteraceae		rayless goldenhead			
Acanthephippium bicolor	Orchidaceae		Jug Flower Orchid			
Acanthephippium mantinianum	Orchidaceae		Mantin's Acanthephippium			
Acanthephippium striatum	Orchidaceae		Striped Jug Flower Orchid			
Acanthocereus tetragonus	Cactaceae		triangle cactus			
Acantholimon androsaceum	Plumbaginaceae			Mannsschild-Igelpolster		
Acantholimon gabrieljaniae	Plumbaginaceae		Gabrielyan's Prickly-thrift			
Acantholimon goeksunicum	Plumbaginaceae			Acantholimon göksunicum		
Acantholimon koeycegizicum	Plumbaginaceae			Acantholimon köycegizicum		
Acantholimon sahendicum	Plumbaginaceae		Sahendic prickly thrift			
Acantholimon vedicum	Plumbaginaceae		Vedian Prickly Thrift			
Acanthomintha duttonii	Lamiaceae		San Mateo thorn-mint			Dutton's acanthomintha~San Mateo Thornmint
Acanthomintha ilicifolia	Lamiaceae		San Diego thorn-mint			
Acanthomintha lanceolata	Lamiaceae		Santa Clara thorn-mint			
Acanthomintha obovata	Lamiaceae		San Benito thorn-mint			
Acanthophoenix crinita	Arecaceae	Palmiste noir	White el palm			Palmiste noir des hauts~Palmiste rouge des Hauts~Yellow el palm
Acanthophoenix rousselii	Arecaceae	Palmiste de Roussel				
Acanthophoenix rubra	Arecaceae	Palmiste rouge	Barbel palm			Palmiste Piquant~el palm~Red el palm
Acanthorrhinum ramosissimum	Plantaginaceae		Acanthorrhinum+ramosissimum			
Acanthosicyos horridus	Cucurbitaceae			Naras		Narastrauch
Acanthospermum australe	Asteraceae		Paraguay bur			Paraguay burr~Paraguayan starburr~sheepbur~spiny-bur~spiny-burr~Paraguayan starbur
Acanthospermum hispidum	Asteraceae		hispid starbur			goat's head~starbur~bristly starbur~bristly starburr~hispid starburr~starburr
Acanthospermum humile	Asteraceae		low starbur			
Acanthus ebracteatus	Acanthaceae		Sea Holly			
Acanthus ilicifolius	Acanthaceae		Holy Mangrove			Holly Leaved Acanthus~Sea Holly
Acanthus illicifolius	Acanthaceae		Hargoza tree			
Acanthus mollis	Acanthaceae	Acanthe à feuilles molles	bear's breeches		Acanto	Acanthe molle~oyster plant~bear's breech
Acanthus spinosus	Acanthaceae	Acanthe épineuse	bear's breeches	Dorniger Akanthus		spine acanthus
Acaulon muticum	Pottiaceae		acaulon moss	Stumpfliches Knospenmoos		
Acaulon schimperianum	Pottiaceae		Schimper's acaulon moss			
Acaulon triquetrum	Pottiaceae		acaulon moss			
Acca sellowiana	Myrtaceae	Goyavier de Montevideo	feijoa	Brasilianische Guave		Goyavier du Bresil~Ananas-Guave~Ananasguave~guavasteen~pineapple guava
Acer angustilobum	Sapindaceae		Acer angustilobum Hu (1931) non Heer (1857)	Acer angustilobum Hu (1931) non Heer (1857)		
Acer argutum	Sapindaceae		Deep-veined Maple	Feinzähniger Ahorn		
Acer barbatum	Sapindaceae		southern sugar maple			
Acer buergerianum	Sapindaceae	Érable trident	three-toothed maple	Dreispitz-Ahorn		Érable de Burger~Dreispitzahorn~Dreispitziger Ahorn~Dreizahn-Ahorn~trident maple
Acer campestre	Sapindaceae	Érable champêtre	field maple	Feldahorn	Acero campestre	Maßholder~Feld-Ahorn~Acero oppio~Testucchi~Testucchio~hedge maple
Acer capillipes	Sapindaceae	Érable jaspé de rouge	Kyushu maple	Roter Schlangenhaut-Ahorn		Acer pensylvanicum capillipes~Roter Schlangenhautahorn~red snakebark maple
Acer cappadocicum	Sapindaceae	Érable de Cappadoce	Cappadocian maple	Kolchischer Ahorn		Érable de Colchide
Acer caudatum	Sapindaceae		Tail-leaf Maple	Geschwänzter Ahorn		
Acer cissifolium	Sapindaceae	Érable à feuille de vigne	Vine-leaved Maple	Cissusblättriger Ahorn		
Acer confertifolium	Sapindaceae		Maple			
Acer crassipes	Sapindaceae		Acer crassipes Pax (1902) non Heer (1857)	Acer crassipes Pax (1902) non Heer (1857)		
Acer davidii	Sapindaceae	Érable du Père David	Père David's maple	Davids-Ahorn		
Acer fabri	Sapindaceae		Faber's maple			
Acer ginnala	Sapindaceae	érable de l'Amour	Amur Maple			érable ginnala
Acer giraldii	Sapindaceae		Giraldi's Maple			
Acer glabrum	Sapindaceae	Érable nain	Rocky Mountain maple	Kahler Ahorn		
Acer griseum	Sapindaceae	érable à écorce de papier	paperbark maple	Zimt-Ahorn		Érable cannelle~Érable gris
Acer isolobum	Sapindaceae		Acer isolobum Kurz (1872) non A.Massal. (1858)	Acer isolobum Kurz (1872) non A.Massal. (1858)		
Acer japonicum	Sapindaceae	érable du Japon	Fullmoon Maple	Japanischer Ahorn		Thunbergs Fächer-Ahorn
Acer laevigatum	Sapindaceae		Smoothbark Maple			
Acer macrophyllum	Sapindaceae	Érable à grandes feuilles	Bigleaf Maple	Oregon-Ahorn		big leaf maple~big-leaf maple~Oregon maple
Acer mandshuricum	Sapindaceae		Manchurian maple	Mandschurischer Ahorn		
Acer maximowiczianum	Sapindaceae		Nikko Maple	Nikko-Ahorn		
Acer miyabei	Sapindaceae	Érable de Miyabe	Miyabe maple	Miyabes Ahorn		Miyabe's maple
Acer mono	Sapindaceae		Mono Maple			
Acer monspessulanum	Sapindaceae	Érable de Montpellier	Montpellier Maple	Französischer Ahorn	Aceri minori	Azerou~Burgen-Ahorn~Burgenahorn~Felsen-Ahorn~Felsenahorn~Französischer Massholder
Acer morifolium	Sapindaceae		mulberry-leaf maple			mulberry-leaved maple~Yaku maple~Yuku maple
Acer nigrum	Sapindaceae	Érable noir	black maple			
Acer obtusatum	Sapindaceae				Acer opalus obtusatum	Acero d'Ungheria
Acer opalus	Sapindaceae	Érable à feuilles d'obier	Italian maple	Schneeball-Ahorn	Acero opalo	Érable à feuilles d’obier~Érable d'Italie~Érable duret~Frühlings-Ahorn~Italienischer Ahorn~Schneeballahorn
Acer palmatum	Sapindaceae	érable palmé	Japanese maple	Fächer-Ahorn	Momiji	
Acer pensylvanicum	Sapindaceae	Érable de Pennsylvanie	goosefoot maple	Streifen-Ahorn		Amerikanischer Streifenahorn~Pennsylvanischer Ahorn~Streifenahorn~moosewood~striped maple~moose maple
Acer pentaphyllum	Sapindaceae	Érable à cinq folioles				
Acer platanoides	Sapindaceae	érable plane	Norway Maple	Spitzahorn	acero riccio	Erable de Norvège~Faux Sycomore~Iseron~Main-découpée~Spitz-Ahorn~Spitzblättriger Ahorn
Acer pseudoplatanus	Sapindaceae	érable sycomore	sycamore	Bergahorn	acero di monte	Érable de montagne~Faux Platane~Sykomore~Berg-Ahorn~Blutahorn~Weiß-Ahorn
Acer pseudosieboldianum	Sapindaceae	Érable de Corée	Korean maple	Koreanischer Fächer-Ahorn		purplebloom maple~Keijo Maple
Acer pycnanthum	Sapindaceae		Hananoki Maple			
Acer rubrum	Sapindaceae	érable rouge	soft maple	Rot-Ahorn		plaine~érable de Virginie~érable du Canada~plaine rouge~Rotahorn~red maple
Acer saccharinum	Sapindaceae	Érable argenté	soft maple	Silber-Ahorn	Acero saccarino	Érable lacinié~Silberahorn~river maple~silver maple~white maple
Acer saccharum	Sapindaceae	érable à sucre	sugar maple	Zucker-Ahorn	Acero canadese	érable franc~érable franche~Kanadischer Ahorn~Kanadischer Spitzahorn~Zuckerahorn~Zuckerahorne
Acer sempervirens	Sapindaceae	Érable de Crète	Cretan maple	Kreta-Ahorn		Kretischer Ahorn
Acer shirasawanum	Sapindaceae		Fullmoon maple	Shirasawas Fächer-Ahorn		Shirasawa's maple
Acer sieboldianum	Sapindaceae		Siebold's Maple	Siebolds Fächer-Ahorn		
Acer sino-oblongum	Sapindaceae		Maple			
Acer spicatum	Sapindaceae	érable à épis	moose maple	Vermont-Ahorn		érable bâtard~plaine bâtarde~plaine bleue~white maple~dwarf maple~mountain maple
Acer sutchuenense	Sapindaceae			Sichuan-Ahorn		
Acer sycopseoides	Sapindaceae		Maple			
Acer tataricum	Sapindaceae		Tatar Maple	Tatarischer Steppen-Ahorn		Steppen-Ahorn~Steppenahorn~Tataren-Ahorn~Tatarenahorn~Tatarischer Steppenahorn
Acer trautvetteri	Sapindaceae			Kaukasus-Ahorn		
Acer triflorum	Sapindaceae	Érable à trois fleurs	Chosen Maple	Dreiblütiger Ahorn		
Acer ukurunduense	Sapindaceae		Ukurundu Maple			
Acer × verhaegheanum	Sapindaceae	Acer ×verhaegheanum		Acer ×verhaegheanum	Acer ×verhaegheanum	
Aceratium concinnum	Elaeocarpaceae		hard aceratium			hard carabeen
Aceratium megalospermum	Elaeocarpaceae		bolly carabeen			carabeen~creek aceratium
Acharia stimulea	Achariaceae		saddleback caterpillar			saddleback caterpillar moth
Achillea ageratifolia	Asteraceae		yarrow			Balkan yarrow~Greek yarrow
Achillea ageratum	Asteraceae	Achillée à feuilles d’agératum	sweet-Nancy	Leberbalsam-Schafgarbe	millefoglio agerato	sweet maudlin~sweet yarrow
Achillea aleppica	Asteraceae		Aleppo Milfoil			
Achillea alpina	Asteraceae	achillée de Sibérie	Siberian yarrow			achillée des Alpes~Chinese yarrow
Achillea arabica	Asteraceae		Arabian Milfoil			
Achillea atrata	Asteraceae	Achillée noirâtre	black yarrow	Schwarzrandige Schafgarbe	Millefoglio del calcare	Schwarze Schafgarbe
Achillea barrelieri	Asteraceae				Millefoglio di Barrelier	
Achillea chamaemelifolia	Asteraceae	achillée à feuilles de camomille				
Achillea clavennae	Asteraceae		silvery yarrow	Bittere Schafgarbe		Almwermut~Steinraute~Weiße Schafgarbe~Weißer Speik
Achillea clusiana	Asteraceae	Achillée de Clusius		Clusius-Schafgarbe		
Achillea collina	Asteraceae	Achillée millefeuille		Gemeine Schafgarbe		Hügel-Schafgarbe
Achillea cretica	Asteraceae		Cretan yarrow	Kretische Schafgarbe		
Achillea crithmifolia	Asteraceae		Yarrow	Meerfenchelblättrige Schafgarbe		
Achillea decolorans	Asteraceae			Muskatkraut		
Achillea distans	Asteraceae		Alps yarrow			
Achillea erba-rotta	Asteraceae		simple leaved milfoil			
Achillea filipendulina	Asteraceae	Achillée à feuilles de fougère	fernleaf yarrow	Goldgarbe		Achillée eupatoire~Achillée filipendule
Achillea ligustica	Asteraceae		Ligurian yarrow			Southern yarrow
Achillea macrophylla	Asteraceae	Achillée à grandes feuilles		Großblättrige Schafgarbe	Millefoglio delle radure	
Achillea maritima	Asteraceae	diotis blanc		Schneeweiße Strandfilzblume		diotis cotonneux
Achillea millefolium	Asteraceae	Achillée millefeuille	Yarrow	Gemeine Schafgarbe		achillée mille-feuilles~Herbe-à-Dinde~Mille-Feuille~Millefeuille~Wiesen-Schafgarbe~Gewöhnliche Schafgarbe
Achillea moschata	Asteraceae	Achillée musquée		Moschus-Schafgarbe	erba iva	taneda
Achillea nana	Asteraceae	Achillée naine		Zwerg-Schafgarbe		Achilée naine~Falscher Genepi~Falscher Genipi~Schwarzrauch~Unser Frauen Schwarzrauch~Wildmännlichrut
Achillea nobilis	Asteraceae	Achillée noble	noble yarrow	Edle Schafgarbe		Edel-Schafgarbe
Achillea oxyloba	Asteraceae			Dolomiten-Schafgarbe		
Achillea pannonica	Asteraceae			Ungarische Wiesen-Schafgarbe		Ungarische Schafgarbe~Pannonien-Echt-Schafgarbe
Achillea pratensis	Asteraceae			Wiesen-Schafgarbe		
Achillea ptarmica	Asteraceae	achillée sternutatoire	sneezeweed	Sumpf-Schafgarbe		Achillée ptarmique~Herbe à éternuer~Bertram-Schafgarbe~Gewöhnliche Sumpf-Schafgarbe~Sumpfgarbe~Sumpfschafgarbe
Achillea ptarmicifolia	Asteraceae		Achillea ptarmicifolia ex			
Achillea roseoalba	Asteraceae			Blassrote Schafgarbe	Millefoglio bianco-roseo	
Achillea salicifolia	Asteraceae			Weidenblatt-Schafgarbe		Weidenblättrige Sumpf-Schafgarbe
Achillea setacea	Asteraceae			Feinblättrige Schafgarbe		
Achillea sibirica	Asteraceae		Siberian yarrow			
Achillea tomentosa	Asteraceae	Achillée tomenteuse		Gelbe Schafgarbe	Millefoglio giallo	Filzige Schafgarbe
Achlys californica	Berberidaceae		deer's foot			
Achlys triphylla	Berberidaceae		deer's foot			deerfoot~deervetch vanillaleaf~sweet after death~sweet-after-death~vanilla leaf~vanilla-leaf
Achnatherum aridum	Poaceae		Mormon needlegrass			
Achnatherum brachychaetum	Poaceae		shortbristled needlegrass			
Achnatherum calamagrostis	Poaceae			Silber-Raugras		
Achnatherum capense	Poaceae		Cape ricegrass			
Achnatherum clandestinum	Poaceae		Mexican ricegrass			
Achnatherum contractum	Poaceae		contracted ricegrass			
Achnatherum curvifolium	Poaceae		Guadalupe ricegrass			
Achnatherum diegoense	Poaceae		San Diego needlegrass			
Achnatherum eminens	Poaceae		southwestern needlegrass			
Achnatherum hendersonii	Poaceae		Henderson's needlegrass			
Achnatherum hymenoides	Poaceae	Stipe à glumes membraneuses	Indian ricegrass			
Achnatherum latiglume	Poaceae		Sierra needlegrass			
Achnatherum lemmonii	Poaceae		Lemmon's needlegrass			
Achnatherum lettermanii	Poaceae		Letterman's needlegrass			
Achnatherum lobatum	Poaceae		littleawn needlegrass			
Achnatherum nelsonii	Poaceae		Columbia needlegrass			
Achnatherum occidentale	Poaceae		western needlegrass			
Achnatherum pinetorum	Poaceae		pine needlegrass			
Achnatherum richardsonii	Poaceae		Feather Grass			Richardson's needlegrass~Richardson's Rice Grass
Achnatherum robustum	Poaceae		sleepygrass			
Achnatherum roshevitzii	Poaceae		Roshevich's Achnatherum			
Achnatherum scribneri	Poaceae		Scribner needlegrass			
Achnatherum speciosum	Poaceae		desert needlegrass			
Achnatherum stillmanii	Poaceae		Stillman's needlegrass			
Achnatherum swallenii	Poaceae		Swallen's needlegrass			
Achnatherum thurberianum	Poaceae		Thurber's needlegrass			
Achnatherum wallowaense	Poaceae		Wallowa needlegrass			
Achnatherum webberi	Poaceae		Webber needlegrass			
Achyrachaena mollis	Asteraceae		blow wives			
Achyranthemum sordescens	Asteraceae		dune chaff-flower			
Achyranthes angustifolia	Amaranthaceae	Achyranthes angustifolia (Vahl) Lopr.	Achyranthes angustifolia (Vahl) Lopr.	Achyranthes angustifolia (Vahl) Lopr.		
Achyranthes arborescens	Amaranthaceae		Chaff tree			
Achyranthes aspera	Amaranthaceae		devil's horsewhip			prickly chaff flower~Chaff-flower~Crokars staff
Achyranthes atollensis	Amaranthaceae		Hawai'i chaff flower			
Achyranthes bidentata	Amaranthaceae		Ox Knee			
Achyranthes japonica	Amaranthaceae		Japanese chaff flower			
Achyranthes mutica	Amaranthaceae		blunt chaff flower			
Achyranthes splendens	Amaranthaceae		Chaff flower			Round-leaf chaff flower~Round-leaved chaff flower~Maui chaff flower~Round chaff flower
Achyranthes virgata	Amaranthaceae		Achyranthes virgata (Jacq.) Zeyh.			
Achyronychia cooperi	Caryophyllaceae		onyxflower			
Achyropsis leptostachya	Amaranthaceae		Brandesia alba			
Acianthus caudatus	Orchidaceae		mayfly orchid			
Acianthus collinus	Orchidaceae		hooded mosquito orchid			inland mosquito orchid
Acianthus cuneatus	Orchidaceae		hooded mosquito orchid			
Acianthus exiguus	Orchidaceae		tiny mosquito orchid			
Acianthus exsertus	Orchidaceae		gnat orchid			large mosquito orchid
Acianthus fornicatus	Orchidaceae		pixie cap			Pixie caps
Acianthus pusillus	Orchidaceae		small mosquito orchid			
Acianthus sinclairii	Orchidaceae		Pixie cap			
Acicarpha tribuloides	Calyceraceae		madam gorgon			
Acidosasa chinensis	Poaceae		Sour bamboo			
Acidosasa gigantea	Poaceae		Giant sour bamboo			
Aciphylla aurea	Apiaceae		golden speargrass			golden Spaniard~taramea
Aciphylla ferox	Apiaceae		fierce Spaniard			
Acis autumnalis	Amaryllidaceae		Autumn Snowflake	Herbst-Knotenblume		
Acis longifolia	Amaryllidaceae	nivéole à feuilles longues				
Acis nicaeensis	Amaryllidaceae	Nivéole de Nice				
Acis rosea	Amaryllidaceae	Nivéole rose				
Acisanthera quadrata	Melastomataceae		dustseed			
Ackama australiensis	Cunoniaceae		rose alder			
Acleisanthes acutifolia	Nyctaginaceae		needletip trumpets			
Acleisanthes anisophylla	Nyctaginaceae		obliqueleaf trumpets			
Acleisanthes crassifolia	Nyctaginaceae		Texas trumpets			
Acleisanthes longiflora	Nyctaginaceae		angel's trumpets			
Acleisanthes nevadensis	Nyctaginaceae		Desert wing-fruit			
Acleisanthes obtusa	Nyctaginaceae		Berlandier's trumpets			
Acleisanthes wrightii	Nyctaginaceae		Wright's trumpets		Acleisanthes wrightii f. Gray)	
Acmadenia alternifolia	Rutaceae		Knysna porcelain flower			
Acmadenia candida	Rutaceae		Flowering plant			
Acmadenia heterophylla	Rutaceae		variable-leaf acmadenia			limestone porcelainflower
Acmadenia kiwanensis	Rutaceae		Kiwane porcelain flower			
Acmadenia macropetala	Rutaceae		large-petal acmadenia			
Acmadenia mundiana	Rutaceae		De Hoop porcelain flower			
Acmadenia obtusata	Rutaceae		lime porcelainflower			
Acmadenia sheilae	Rutaceae		Kleinkaroo Porcelainflower			
Acmadenia tetragona	Rutaceae		Pagoda Flower			
Acmella decumbens	Asteraceae		creeping spotflower			
Acmella iodiscaea	Asteraceae		maluco			
Acmella oleracea	Asteraceae	Brèdes mafane	jambu	Jambu	Fiore di Sechuan	Brède mafane~Cresson de Para~Pará-Kresse~Zahnweh-Pflanze~Fiore elettrico~paracress
Acmella oppositifolia	Asteraceae		oppositeleaf spotflower			
Acmella paniculata	Asteraceae		Panicled Spot Flower			
Acmella pilosa	Asteraceae		hairy spotflower			
Acmella pusilla	Asteraceae		dwarf spotflower			
Acmella radicans	Asteraceae		White Spot-Flower			
Acmispon micranthus	Fabaceae		Desert Deervetch			
Acmispon rigidus	Fabaceae		Broom Lotus			Desert Rock pea
Acoelorraphe wrightii	Arecaceae	Acoelorrhaphe	Everglades palm	paurotis		palmier des Everglades~Paurotis palm~Saw cabbage palm~Silver saw palm~Madiera palm~Silver saw palmetto
Acokanthera oblongifolia	Apocynaceae		Acokanthera oblongifolia ex			
Acokanthera oppositifolia	Apocynaceae			Buschmanns Schöngift		
Acokanthera rotundata	Apocynaceae		Round-leaved Poison-bush			
Aconitum anthora	Ranunculaceae	Anthore	yellow monkshood	Gift-Eisenhut		Maclou~Aconit anthore~Aconit vénéneux
Aconitum bicolor	Ranunculaceae		twocolor monkshood			
Aconitum carmichaelii	Ranunculaceae		Carmichael's monkshood	Herbst-Eisenhut		
Aconitum columbianum	Ranunculaceae		Columbian monkshood			
Aconitum coreanum	Ranunculaceae	Aconitum delavayi var. coreanum H.Lév.				Aconitum komarovii Steinb.
Aconitum corsicum	Ranunculaceae	Aconit de Corse				
Aconitum degenii	Ranunculaceae			Rispen-Eisenhut		
Aconitum delphiniifolium	Ranunculaceae		larkspurleaf monkshood			
Aconitum ferox	Ranunculaceae	Aconit féroce	blue aconite			Himalayan Monkshood~Indian aconite
Aconitum fischeri	Ranunculaceae		Fischer monkshood			
Aconitum henryi	Ranunculaceae		Sparks variety monkshood	Lockerer Eisenhut		
Aconitum heterophyllum	Ranunculaceae		Himalayan monkshood			Indian atees~Monk's hood
Aconitum infectum	Ranunculaceae		Arizona monkshood			
Aconitum komarovii	Ranunculaceae	Aconitum coreanum (H.Lév.) Rapaics				
Aconitum lycoctonum	Ranunculaceae			Wolfs-Eisenhut	Aconito di Lamarck	Gelber Eisenhut~Aconito vulparia
